Census Tract Id, Mean Elevation, Median Household Income
1190.03, 280.915094339622669, 103235
1190.04, 271.740384615384642, 85708
1192.01, 273.641025641025635, 94503
1192.02, 282.966386554621863, 66733
1193.10, 268.886792452830207, 69866
1193.20, 261.213114754098342, 78841
1193.40, 256.133333333333326, 38472
1193.41, 261.595238095238074, 47480
1193.42, 265.000000000000000, 69878
1194.00, 267.525547445255484, 93295
1197.00, 244.472049689441008, 103079
1198.01, 262.220779220779207, 88393
1198.02, 258.363636363636374, 77143
1199.00, 251.556390977443613, 80000
1200.10, 242.014705882352928, 51464
1200.20, 242.309859154929569, 41042
1200.30, 239.674418604651152, 40156
1201.03, 252.444444444444457, 39455
1201.04, 247.314814814814810, 43466
1201.05, 254.446153846153834, 39494
1201.06, 245.791666666666657, 31841
1201.07, 248.625000000000000, 40985
1201.08, 253.687500000000000, 45045
1203.00, 238.768115942028999, 61250
1204.00, 241.845588235294116, 63354
1210.10, 250.075396825396837, 79519
1210.20, 238.699029126213588, 64432
1211.01, 251.474576271186436, 70972
1211.02, 274.290322580645181, 57813
1212.10, 270.223107569721094, 72679
1212.21, 257.873015873015845, 71458
1212.22, 264.850931677018650, 75019
1216.00, 237.330985915492960, 78750
1218.01, 240.637931034482762, 41848
1218.02, 250.076923076923066, 81964
1219.00, 245.803738317757023, 63573
1220.00, 238.287128712871294, 76266
1221.20, 238.139534883720927, 63467
1221.21, 242.529411764705884, 52135
1221.22, 247.437500000000000, 43854
1222.00, 238.142180094786738, 63500
1224.10, 231.577777777777783, 45172
1224.20, 229.970873786407765, 57156
1230.10, 227.622047244094489, 47880
1230.20, 229.242857142857133, 74728
1231.03, 210.855855855855850, 66642
1231.04, 200.905263157894723, 65845
1232.03, 221.518987341772146, 41193
1232.04, 219.500000000000000, 61964
1232.05, 218.765957446808500, 49688
1232.06, 216.402777777777771, 36343
1233.01, 221.898734177215204, 67532
1233.03, 223.292682926829258, 63950
1233.04, 222.635514018691595, 44063
1234.10, 220.063492063492077, 50100
1234.20, 218.260869565217405, 53399
1235.10, 220.209523809523802, 42212
1235.20, 215.616666666666674, 55481
1236.01, 206.973544973544961, 59068
1236.02, 212.333333333333343, 58208
1237.00, 212.017391304347825, 82861
1238.00, 207.291139240506340, 89879
1239.01, 211.289308176100633, 43289
1239.02, 202.036144578313241, 85637
1240.00, 196.783132530120469, 81693
1241.02, 200.087500000000006, 46269
1241.03, 212.368421052631589, 47500
1241.04, 208.581395348837219, 44917
1241.05, 204.837837837837839, 57350
1242.01, 206.120000000000005, 64359
1242.03, 198.277777777777771, 56758
1242.04, 195.162790697674410, 47391
1243.00, 193.073394495412856, 51029
1244.00, 203.258333333333326, 88646
1245.00, 205.607843137254889, 75214
1246.00, 199.805970149253739, 81250
1247.00, 199.750000000000000, 107159
1249.02, 200.613636363636374, 46944
1249.03, 198.972222222222229, 87986
1251.01, 197.419753086419746, 77618
1251.02, 193.443037974683534, 130875
1252.00, 193.148148148148152, 77674
1253.10, 188.496183206106878, 53257
1253.21, 186.142857142857139, 46912
1253.22, 190.352941176470580, 32530
1254.02, 185.077777777777783, 79042
1254.03, 189.400000000000006, 79200
1254.04, 187.099999999999994, 70479
1255.01, 184.779661016949149, 51900
